Use,old_calval,SourceEntity,lab,UniqueID_v2,lat,long,siteid,waterbody_name,Year,Month,CollDate,daynum,CollMeth,Freq,SameYr_SameDay2,SameYr_DiftDay2,MultipleYrs,Unit_OBSPRED_final,MWMT_TolAnal,MWMT_source,MWMT_93_11,MWMT_Annual,Aug_93_11,NORWEST_Unit,Ecoregion_name,eco3,L4_eco_code,L4_eco_name,slope_nhd,wsarea_km2,elev_m,ElevWs,ICI,IWI,PctUrbCat,PctUrbWs,PctAgCat,PctAgWs,PctForCat,PctForWs,RdDensCat,RdDensWs,Tmean8110Cat,Tmean8110Ws,Precip8110Cat,Precip8110Ws
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5377_1,48.025278,-124.443333,WWAP99-0639,EAST FORK DICKEY RIVER,2001,7,7/10/2001 0:00,191,random transect,single,,,,WACoast_127158,17.1,annual,17.63,17.1,14.51,WACoast,Coast Range,CR,1b,Coastal Uplands,0.501709,49.8582,155.2080171,200.8778064,0.853209923,0.830312475,0,0,0,0,78.99945359,68.89057367,1.104072182,0.92745524,10.07336841,9.913402053,2861.821654,2869.397975
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5378_1,46.259444,-117.481389,WWAP99-0640,CHARLIE CREEK,2001,10,10/3/2001 0:00,276,random transect,single,,,,MidCol_109809,14.5,annual,14.03,14.5,10.22,MidCol,Blue Mountains,BM,11f,Canyons and Dissected Highlands,4.754166,20.6289,1258.163514,1466.42797,0.844627659,0.851420922,0.335345406,0.942367261,0,0,72.09926224,73.0072859,2.160342181,2.566999071,7.496597624,7.003383435,683.5588347,825.2493922
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5379_1,46.526389,-121.166111,WWAP99-0641,SHELLNECK CREEK,2001,7,7/3/2001 0:00,184,random transect,single,,,,UpColYak_106291,13.67,annual,12.58,13.67,8.28,UpColYak,Eastern Cascades Slopes and Foothills,EC,9b,Grand Fir Mixed Forest,6.544609,6.8508,1558.26696,1797.006738,0.874750836,0.856447617,2.445472571,1.839201261,0,0,66.09385327,55.58328954,0.84229937,0.704740908,4.420218856,3.223126855,943.6500983,971.8855754
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5380_1,46.844722,-121.186111,WWAP99-0642,NELSON CREEK,2001,8,8/8/2001 0:00,220,random transect,single,,,,UpColYak_111615,9.78,annual,8.68,9.78,7.56,UpColYak,Eastern Cascades Slopes and Foothills,EC,9b,Grand Fir Mixed Forest,20.276764,2.9016,1709.966836,1709.966836,0.836392802,0.836392802,0,0,0,0,78.691067,78.691067,0,0,3.513141998,3.513141998,1831.550217,1831.550217
Y,VAL,EPA_NARS,EcoAnalysts,SampEPA_5381_1,46.20903,-121.79269,WWAP99-0676,QUARTZ CREEK,2002,8,8/15/2002 0:00,227,random transect,single,,,,ORCoast_221713,15.98,annual,15.54,15.98,11.1,ORCoast,Cascades,CA,4b,Western Cascades Montane Highlands,3.534998,36.2385,996.333305,1153.219674,0.889673984,0.879624185,0.378837361,0.153979883,0,0,98.57609406,95.05029182,0.201707095,0.049229344,6.786529025,5.906412064,2476.058196,2537.972183
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5382_1,46.77709,-121.55199,WWAP99-0677,OHANAPECOSH RIVER,2002,9,9/20/2002 0:00,263,random transect,single,,,,ORCoast_227026,14.34,annual,13.9,14.34,10.65,ORCoast,Cascades,CA,4b,Western Cascades Montane Highlands,1.373793,127.2762,952.1287988,1418.82168,0.878235834,0.874205004,0.149031297,0.426395508,0,0,93.17436662,72.44551613,0.401749776,0.146460923,6.697401068,4.531855678,1826.548641,1913.904269
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5384_1,47.54551,-121.04039,WWAP99-0682,FRENCH CREEK,2002,8,8/20/2002 0:00,232,random transect,single,,,,UpColYak_124583,6.49,annual,6.92,6.49,5.7,UpColYak,North Cascades,NC,77c,North Cascades Subalpine/Alpine,16.075449,2.8269,1710.406176,1710.406176,0.857944942,0.857944942,0,0,0,0,57.68863419,57.68863419,0,0,3.151708743,3.151708743,2111.572359,2111.572359
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5385_1,47.93462,-120.30551,WWAP99-0688,TWENTYFIVE MILE CREEK,2002,7,7/11/2002 0:00,192,random transect,single,,,,UpColYak_130560,13.96,annual,14.39,13.96,10.47,UpColYak,North Cascades,NC,77f,Chelan Tephra Hills,10.458333,21.5577,1187.683603,1552.307149,0.816018771,0.856846599,0,0.350686762,0,0,73.72139022,61.6582474,0,0.135491419,6.453964326,4.599702191,669.9300479,959.1556404
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5386_1,47.27658,-123.45342,WWAP99-0689,DANNY WALKER CREEK,2002,7,7/2/2002 0:00,183,random transect,single,,,,WACoast_112442,16.32,annual,16.04,16.32,12.72,WACoast,Puget Lowland,PL,2f,Central Puget Lowland,1.605568,6.8283,260.730808,260.730808,0.833926714,0.833926714,0.237247924,0.237247924,0,0,54.07934625,54.07934625,0.746968148,0.746968148,9.887976233,9.887976233,3342.248928,3342.248928
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5387_1,48.6306,-122.4367,WWAP99-0692,OYSTER CREEK,2002,7,7/23/2002 0:00,204,random transect,single,,,,WACoast_132436,17.13,annual,16.85,17.13,13.68,WACoast,Puget Lowland,PL,2e,Eastern Puget Uplands,2.768707,5.2182,130.0221111,364.791535,0.861553266,0.888347727,0,0,0,0,81.11111111,91.79027251,0.564571631,0.331132342,10.00149682,9.277960966,1280.890059,1399.133275
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5388_1,47.43262,-120.53316,WWAP99-0695,SAND CREEK,2002,8,8/2/2002 0:00,214,random transect,single,,,,UpColYak_121507,17.24,annual,17.68,17.24,12.99,UpColYak,North Cascades,NC,77h,Chiwaukum Hills and Lowlands,2.441926,34.9776,568.5968269,973.3208296,0.867646837,0.873033555,4.615384615,2.475298477,0,0,66.73076923,73.72118156,3.055924858,2.073759955,8.930271031,7.320318263,637.6430935,790.3458183
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5390_1,47.45026,-120.65278,WWAP99-0700,PESHASTIN CREEK,2002,7,7/18/2002 0:00,199,random transect,single,,,,UpColYak_122044,17.69,annual,18.13,17.69,13.01,UpColYak,North Cascades,NC,77g,Wenatchee/Chelan Highlands,0.001,151.5564,660.9286667,1201.992183,0.709246686,0.857515075,31.11111111,3.975747642,0,0,53.33333333,64.30140858,3.719109334,1.847439926,7.945961475,6.128022644,783.3502808,878.1531022
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5391_1,47.862778,-121.101389,WWAP99-0701,TRIB. LAKE CREEK,2002,10,10/9/2002 0:00,282,random transect,single,,,,UpColYak_130291,12.84,annual,13.28,12.84,9.92,UpColYak,North Cascades,NC,77b,North Cascades Highland Forests,9.559772,9.4464,1178.601129,1301.994621,0.847830821,0.854359421,0,0,0,0,97.70531401,90.08193598,0,0,5.206860385,4.580125923,2153.862242,2213.434244
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5392_1,47.76982,-120.84474,WWAP99-0702,TRIBUTARY NASON CREEK,2002,8,8/28/2002 0:00,240,random transect,single,,,,UpColYak_128480,12.24,annual,12.68,12.24,8.76,UpColYak,North Cascades,NC,77g,Wenatchee/Chelan Highlands,9.156844,1.2114,1352.33864,1352.33864,0.61172239,0.61172239,0,0,0,0,47.99405646,47.99405646,2.351674644,2.351674644,5.44836727,5.44836727,1162.596314,1162.596314
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5393_1,48.09626,-120.82736,WWAP99-0704,BOX CREEK,2002,9,9/19/2002 0:00,262,random transect,single,,,,UpColYak_134681,3.6,annual,4.04,3.6,4.31,UpColYak,North Cascades,NC,77b,North Cascades Highland Forests,36.035087,3.9573,1435.725027,1885.513475,0.833542141,0.850844234,0,0,0,0,81.70515098,52.5130771,0.544629295,0.069735341,4.02118281,2.079013879,1550.58694,1930.968398
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5394_1,48.03268,-120.86401,WWAP99-0705,TRIB LITTLE GIANT CREEK,2002,10,10/8/2002 0:00,281,random transect,single,,,,UpColYak_133295,8.25,annual,8.68,8.25,6.18,UpColYak,North Cascades,NC,77c,North Cascades Subalpine/Alpine,20.982691,1.9521,1563.984809,1563.984809,0.812632335,0.812632335,0,0,0,0,52.23605348,52.23605348,0,0,3.744760224,3.744760224,1499.24272,1499.24272
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5395_1,47.3599,-120.45611,WWAP99-0706,MISSION CREEK,2002,8,8/6/2002 0:00,218,random transect,single,,,,UpColYak_119698,16.18,annual,16.62,16.18,11.8,UpColYak,North Cascades,NC,77h,Chiwaukum Hills and Lowlands,4.538826,27.0171,885.9891924,1150.455342,0.849444312,0.86528952,1.917203936,1.43E+00,0,0,78.01153716,82.6210067,0.561139293,0.995990955,7.597793636,6.391225559,603.7427628,630.2901451
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5396_1,47.620833,-121.495278,WWAP99-0712,LENNOX CREEK,2002,8,8/8/2002 0:00,220,random transect,single,,,,WACoast_115731,13.6,annual,13.32,13.6,9.99,WACoast,North Cascades,NC,77b,North Cascades Highland Forests,8.840128,8.9505,1044.353618,1172.668401,0.87411577,0.856791929,0,0,0,0,95.0790337,77.46606335,0.744482374,0.387432946,6.203354664,5.697947493,3470.652944,3484.992414
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5397_1,48.09318,-121.33997,WWAP99-0713,NORTH FORK SAUK RIVER,2002,9,9/24/2002 0:00,267,random transect,single,,,,WACoast_123794,14.24,annual,13.97,14.24,11.51,WACoast,North Cascades,NC,77b,North Cascades Highland Forests,2.586407,200.2374,635.040654,1306.621561,0.886381337,0.857291094,0,0.275522954,0,0.02427119,95.09536785,75.77150922,0.819971177,0.152594047,7.153965636,4.747936256,3009.103442,2821.35863
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5398_1,46.72199,-122.15535,WWAP99-0714,MINERAL CREEK,2002,7,7/3/2002 0:00,184,random transect,single,,,,WACoast_102518,17.91,annual,17.64,17.91,12.87,WACoast,Cascades,CA,4a,Western Cascades Lowlands and Valleys,0.534883,196.6086,500.9535469,834.4895884,0.880611382,0.87459744,0.305064063,0.877072519,0,0,56.68090299,69.23333974,1.451966109,1.580130094,8.784846188,7.739648131,1930.760993,2122.358276
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5399_1,47.69004,-124.17229,WWAP99-0716,TRIBUTARY TO SNAHAPISH RIVER,2002,8,8/13/2002 0:00,225,random transect,single,,,,WACoast_121113,16.99,annual,16.72,16.99,13.27,WACoast,Coast Range,CR,1c,Low Olympics,0.707499,37.3338,274.2060523,312.0150381,0.887787297,0.879145432,0.299401198,0.149462417,0,0,81.73652695,81.44737476,0.531425044,0.538423441,9.741891542,9.665657622,3320.845273,3351.2277
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5400_1,46.89647,-121.98878,WWAP99-0719,RUSHING WATER CREEK,2002,9,9/25/2002 0:00,268,random transect,single,,,,WACoast_104977,14.7,annual,14.42,14.7,10.86,WACoast,Cascades,CA,4b,Western Cascades Montane Highlands,6.304695,18.3114,914.8854513,1040.891689,0.797380665,0.828412155,0.236225943,0.167109014,0,0,43.8963385,55.23444412,1.796750646,1.451152745,7.090096101,6.548632159,1740.05311,1814.901514
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5401_1,46.91606,-123.58942,WWAP99-0720,LITTLE NORTH RIVER,2002,8,8/14/2002 0:00,226,random transect,single,,,,WACoast_107464,18.54,annual,18.27,18.54,14.63,WACoast,Coast Range,CR,1f,Willapa Hills,0.54691,6.8616,124.8417944,149.6050761,0.906747859,0.915784176,0,0.065582371,0,0,90.12096774,90.08394544,1.234381625,1.180737245,10.02075028,10.00663384,2381.041078,2449.685563
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5402_1,48.76751,-117.75771,WWAP99-0721,ONION CREEK TRIBUTARY,2002,10,10/3/2002 0:00,276,random transect,single,,,,UpColYak_145735,11.38,annual,11.82,11.38,8.27,UpColYak,Northern Rockies,NR,15r,Okanogan-Colville Xeric Valleys and Foothills,12.602367,2.1744,1291.185902,1291.185902,0.828040504,0.828040504,0,0,0,0,58.94039735,58.94039735,1.859363162,1.859363162,5.332892915,5.332892915,935.9981578,935.9981578
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5403_1,47.73425,-117.66951,WWAP99-0722,COULEE CREEK,2002,10,10/16/2002 0:00,289,random transect,single,,,,SpoKoot_130449,18.92595143,1993-2011,18.92595143,,14.6,SpoKoot,Columbia Plateau,CP,10a,Channeled Scablands,0.934553,109.2465,714.3351372,751.4295786,0.708476846,0.293617888,0.444537056,0.098859002,3.104813503,61.28763851,23.18538584,15.17073774,1.310672945,1.208985427,8.350838457,8.188407707,429.5364702,426.1527708
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5404_1,47.83211,-120.85786,WWAP99-0729,LITTLE WENATCHEE RIVER,2002,9,9/12/2002 0:00,255,targeted riffle,single,,,,UpColYak_129383,18.58,annual,19.02,18.58,14.33,UpColYak,North Cascades,NC,77g,Wenatchee/Chelan Highlands,0.207626,260.3916,953.4002367,1221.106016,0.886360333,0.867983118,0.815309704,1.140589789,0,0,74.9065791,79.96398501,0.454925636,0.666482028,6.626366224,5.146703098,1011.907475,1954.301551
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5405_1,47.46304,-120.65988,WWAP99-0730,PESHASTIN CREEK @ INGALLS CREEK,2002,7,7/17/2002 0:00,198,random transect,single,,,,UpColYak_122345,16.68,annual,17.12,16.68,12.68,UpColYak,North Cascades,NC,77g,Wenatchee/Chelan Highlands,2.031453,251.3016,591.4379704,1356.213402,0.69411854,0.850280966,17.97040169,2.659513509,0,0,36.15221987,59.67431166,4.196750093,1.429043664,8.421542797,5.296525605,772.6172285,1051.950167
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5406_1,47.77466,-120.83299,WWAP99-0732,TRIBUTARY NASON CREEK,2002,8,8/29/2002 0:00,241,random transect,single,,,,UpColYak_128466,10.36,annual,10.8,10.36,9.49,UpColYak,North Cascades,NC,77g,Wenatchee/Chelan Highlands,21.950664,3.4074,834.1235894,1275.245639,0.90456638,0.740193651,2.141057935,0.449022715,0,0,77.20403023,52.77337559,1.410396747,2.111878141,7.216204191,5.645724782,1023.069437,1152.437474
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5407_1,47.61033,-120.89884,WWAP99-0733,ICICLE CREEK,2002,9,9/5/2002 0:00,248,random transect,single,,,,UpColYak_125815,15.72,annual,16.16,15.72,12.18,UpColYak,North Cascades,NC,77g,Wenatchee/Chelan Highlands,1.329188,216.1539,1175.310848,1500.316019,0.838632684,0.835636872,1.315789474,0.05912454,0,0,49.41520468,71.39496442,0.754273718,0.040929497,5.513553238,3.759038771,1452.044269,2096.226927
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5408_1,48.02649,-120.828,WWAP99-0735,CHIWAWA RIVER,2002,8,8/1/2002 0:00,213,random transect,single,,,,UpColYak_133440,16.61,annual,17.05,16.61,9.98,UpColYak,North Cascades,NC,77g,Wenatchee/Chelan Highlands,0.171428,145.1862,1178.767477,1619.601734,0.868256155,0.85649571,0.42231607,0.078106597,0,0,95.35452323,60.51959484,0.478324174,0.13477985,5.292710597,3.347879121,1043.148552,1654.785781
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5409_1,47.94051,-120.93223,WWAP99-0736,PANTHER RIVER,2002,9,9/17/2002 0:00,260,random transect,single,,,,UpColYak_131297,14.17,annual,14.6,14.17,10.62,UpColYak,North Cascades,NC,77g,Wenatchee/Chelan Highlands,6.764829,48.5505,968.194015,1424.254676,0.865847112,0.848548598,0,0,0,0,68.52248394,66.94410974,0.073441543,0.003814685,6.482632188,4.545252617,1453.308702,2001.605649
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5410_1,47.378056,-120.645556,WWAP99-0765,SCOTTY CREEK,2003,7,7/22/2003 0:00,203,random transect,single,,,,UpColYak_120353,18.41,annual,17.44,18.41,12.31,UpColYak,North Cascades,NC,77h,Chiwaukum Hills and Lowlands,3.244137,18.4383,941.3799789,1121.558311,0.875861985,0.876901256,5.263157895,4.188021672,0,0,54.31578947,65.30482745,1.771359596,1.797686084,6.928924966,6.479592796,839.8325167,816.6451503
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5411_1,47.770833,-121.076389,WWAP99-0766,STEVENS CREEK,2003,7,7/8/2003 0:00,189,random transect,single,,,,UpColYak_128419,14.91,annual,13.94,14.91,9.7,UpColYak,North Cascades,NC,77b,North Cascades Highland Forests,4.32791,5.5809,1327.577913,1327.577913,0.823356447,0.823356447,7.498790518,7.498790518,0,0,72.0045154,72.0045154,1.366041965,1.366041965,4.411690605,4.411690605,2144.969323,2144.969323
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5412_1,47.615556,-121.021111,WWAP99-0768,FRENCH CREEK,2003,9,9/17/2003 0:00,260,random transect,single,,,,UpColYak_126070,15.27,annual,14.29,15.27,10.75,UpColYak,North Cascades,NC,77b,North Cascades Highland Forests,1.905126,54.2088,1324.302375,1602.461263,0.86437316,0.811705138,0,0,0,0,76.07017544,63.06780449,0,0,4.30931493,3.499566134,1922.690029,2025.850523
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5413_1,47.418056,-120.508333,WWAP99-0770,MISSION CREEK,2003,7,7/24/2003 0:00,205,random transect,single,,,,UpColYak_120633,20.78,annual,19.8,20.78,13.7,UpColYak,North Cascades,NC,77h,Chiwaukum Hills and Lowlands,2.317591,103.14,694.1667867,1055.563009,0.831601955,0.848837774,1.428571429,0.935427574,0,0,65.61507937,75.77399651,0.691047173,0.751239354,8.525246903,6.830384914,670.8300843,677.5424712
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5414_1,47.876944,-121.041667,WWAP99-0772,LAKE CREEK,2003,9,9/11/2003 0:00,254,random transect,single,,,,UpColYak_130241,16.08,annual,15.1,16.08,11.39,UpColYak,North Cascades,NC,77b,North Cascades Highland Forests,8.135824,43.1361,784.3517,1261.325546,0.822628934,0.870561947,10.75,0.356777734,0,0,84,87.30205095,1.893527727,0.254137168,6.543106861,4.826170724,1776.784849,2153.333795
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5415_1,47.4225,-120.728056,WWAP99-0776,NEGRO TRIBUTARY,2003,7,7/23/2003 0:00,204,random transect,single,,,,UpColYak_121490,13.3,annual,12.32,13.3,9.05,UpColYak,North Cascades,NC,77g,Wenatchee/Chelan Highlands,8.004567,31.5864,1181.285495,1413.707328,0.850890301,0.803801389,0.157539858,0.453043082,0,0,73.19931943,62.54843857,1.112738808,1.108629727,6.253129162,5.120856553,880.3592201,1056.727197
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5416_1,47.779167,-120.941944,WWAP99-0777,NASON CREEK,2003,7,7/10/2003 0:00,191,random transect,single,,,,UpColYak_128672,18.45,annual,17.48,18.45,12.13,UpColYak,North Cascades,NC,77g,Wenatchee/Chelan Highlands,2.889162,80.6535,1076.249628,1302.542767,0.878621045,0.86378653,1.56555773,2.646878313,0,0,51.27201566,73.4564526,2.254139098,1.148385411,5.926443045,4.478488582,1760.811335,2118.423247
Y,CAL,EPA_NARS,EcoAnalysts,SampEPA_5417_1,47.645556,-120.576667,WWAP99-0778,EAGLE CREEK,2003,8,8/14/2003 0:00,226,random transect,single,,,,UpColYak_126369,16.7,annual,15.73,16.7,12.34,UpColYak,North Cascades,NC,77h,Chiwaukum Hills and Lowlands,2.778777,54.7812,729.7214191,939.6135193,0.86174464,0.869134268,3.445242633,5.104488401,0,0,54.0023457,62.23795755,2.412529824,2.726662739,8.157131427,7.171933923,887.6471573,1054.641917
Y,CAL,ORDEQ,Rhithron,SampOD_5002_1,41.97522828,-123.0660325,ORDEQ_0002,"Trib to Dutch Creek at RM 1.1 (Dutch, Elliot, Applegate, Rogue)",2000,7,7/11/2000 0:00,193,targeted riffle,single,,,,ORCoast_100059,12.59,annual,12.9,12.59,12.53,ORCoast,Klamath Mountains/California High North Coast Range,KM,78e,Inland Siskiyous,,,,,,,,,,,,,,,,,,
Y,NOT_CALVAL,ORDEQ,Rhithron,SampOD_5015_1,42.04382158,-118.29444,ORDEQ_0015,"Big Trout Creek 1 mi U/S from Rock Cabin Cr (Trout, Alvord Lake)",2000,8,8/24/2000 0:00,237,targeted riffle,multi,ORDEQ_0015__2000-08-24 ,,,SCOR_101202,17.91,1993-2011,17.91,,11.34,SCOR,Northern Basin and Range,NBR,80j,Semiarid Uplands,5.457933,20.8944,2197.423355,2335.858713,0.861298764,0.846350588,0,0,0,0,0,4.643349414,1.111301014,1.455334468,5.452120994,4.55910648,686.0833662,708.8416225
Y,CAL,ORDEQ,Rhithron,SampOD_5016_1,42.04382158,-118.29444,ORDEQ_0015,"Big Trout Creek 1 mi U/S from Rock Cabin Cr (Trout, Alvord Lake)",2000,8,8/24/2000 0:00,237,random transect,multi,ORDEQ_0015__2000-08-24 ,,,SCOR_101202,17.91,1993-2011,17.91,,11.34,SCOR,Northern Basin and Range,NBR,80j,Semiarid Uplands,5.457933,20.8944,2197.423355,2335.858713,0.861298764,0.846350588,0,0,0,0,0,4.643349414,1.111301014,1.455334468,5.452120994,4.55910648,686.0833662,708.8416225
Y,CAL,ORDEQ,Rhithron,SampOD_5025_1,42.07479918,-123.2400343,ORDEQ_0023,"Osier Creek at RM 0.73 (Steve Fork, Carberry, Applegate, Rogue)",2000,7,7/18/2000 0:00,200,targeted riffle,multi,,,ORDEQ_0023,ORCoast_100679,14.59,annual,14.89,14.59,12.09,ORCoast,Klamath Mountains/California High North Coast Range,KM,78h,Border High-Siskiyous,18.458752,3.0924,1223.173772,1223.173772,0.878344504,0.878344504,0,0,0,0,93.94644936,93.94644936,0.025213865,0.025213865,9.787368513,9.787368513,1226.929259,1226.929259
Y,NOT_CALVAL,ORDEQ,Rhithron,SampOD_5029_1,42.1022578,-123.2396556,ORDEQ_0026,Obrien Creek (Applegate),2000,7,7/19/2000 0:00,201,targeted riffle,multi,,,ORDEQ_0026,ORCoast_101045,15.87,annual,16.17,15.87,12.56,ORCoast,Klamath Mountains/California High North Coast Range,KM,78e,Inland Siskiyous,6.85E+00,10.0215,993.1193797,1429.095779,0.852214297,0.865630406,0,0,0,0,92.12070411,85.7117198,2.373327318,0.852659092,10.50951593,8.472981026,1087.657828,1471.524813
Y,CAL,ORDEQ,Rhithron,SampOD_5037_1,42.11154968,-123.4241474,ORDEQ_0027,"Lake Creek at RM 0.035 (Cave, Sucker, EF Illinois, Illinois, Rogue)",2000,7,7/20/2000 0:00,202,targeted riffle,single,,,,ORCoast_101024,15.13,annual,15.44,15.13,12.53,ORCoast,Klamath Mountains/California High North Coast Range,KM,78e,Inland Siskiyous,12.362729,10.7712,1229.000547,1434.719659,0.842239684,0.907389002,0.15819209,0.058489305,0,0,79.23163842,84.18282086,3.31749321,2.103303706,9.526590273,8.532343063,1618.992868,1648.024296
Y,CAL,ORDEQ,Rhithron,SampOD_5043_1,42.17347778,-123.9117682,ORDEQ_0033,Chetco River,2000,9,9/20/2000 0:00,264,targeted riffle,multi,,,ORDEQ_0033,ORCoast_101994,20.49,annual,20.8,20.49,18,ORCoast,Klamath Mountains/California High North Coast Range,KM,78d,Serpentine Siskiyous,2.918305,26.7255,861.9306144,993.6102782,0.867763938,0.876427651,0,0.067351406,0,0,19.55177743,43.12510524,0,0,10.94883013,10.53699899,3594.839734,3882.712532
Y,NOT_CALVAL,ORDEQ,Rhithron,SampOD_5046_1,42.17451202,-119.9266625,ORDEQ_0034,Deep Creek West of Adel,2000,10,10/5/2000 0:00,279,targeted riffle,multi,,,ORDEQ_0034,SCOR_103599,27.28,1993-2011,27.28,,18.22,SCOR,Northern Basin and Range,NBR,80g,High Lava Plains,2.542212,705.6945,1630.34627,1864.518266,0.846164446,0.775030179,0,0.025506788,0,0.883555136,0.6614654,38.80309397,1.201179723,1.402114902,7.671265456,6.381874195,317.2410968,500.2722696
Y,NOT_CALVAL,ORDEQ,Rhithron,SampOD_5056_1,42.18604717,-118.3704862,ORDEQ_0038,Trout Creek U/S Little Trout Cr (Alvord Lake),2000,10,10/4/2000 0:00,278,targeted riffle,multi,,,ORDEQ_0038,SCOR_102566,27.04,1993-2011,27.04,,18.04,SCOR,Northern Basin and Range,NBR,80g,High Lava Plains,1.446996,92.6451,1610.211116,2082.556924,0.76779328,0.80543601,0,0,0.350842998,0.034972168,1.033037716,4.582325455,0.548792256,0.771432996,8.772125267,6.172268682,326.1838882,587.4221212
Y,CAL,ORDEQ,Rhithron,SampOD_5066_1,42.23752163,-120.5765982,ORDEQ_0042,Muddy Creek 3.9 mi on USFS RD 386 (Goose Lake),2000,8,8/22/2000 0:00,235,targeted riffle,multi,ORDEQ_0042__2000-08-22 ,,,SCOR_201096,17.19,1993-2011,17.19,,10.81,SCOR,Eastern Cascades Slopes and Foothills,EC,9h,Fremont Pine/Fir Forest,7.885446,10.7712,1835.67656,1926.249014,0.855140841,0.852441385,0,0,0,0,87.52221376,80.53977273,0.753703391,1.208138601,6.333564517,5.903690637,526.0570141,578.1642933
Y,NOT_CALVAL,ORDEQ,Rhithron,SampOD_5067_1,42.23752163,-120.5765982,ORDEQ_0042,Muddy Creek 3.9 mi on USFS RD 386 (Goose Lake),2000,8,8/22/2000 0:00,235,random transect,multi,ORDEQ_0042__2000-08-22 ,,,SCOR_201096,17.19,1993-2011,17.19,,10.81,SCOR,Eastern Cascades Slopes and Foothills,EC,9h,Fremont Pine/Fir Forest,7.89E+00,10.7712,1835.67656,1926.249014,0.855140841,0.852441385,0,0,0,0,87.52221376,80.53977273,0.753703391,1.208138601,6.333564517,5.903690637,526.0570141,578.1642933
Y,NOT_CALVAL,ORDEQ,Rhithron,SampOD_5073_1,42.3375822,-118.2350785,ORDEQ_0047,Whitehourse Creek at Whitehorse Ranch Rd,2000,10,10/4/2000 0:00,278,targeted riffle,multi,,,ORDEQ_0047,SCOR_104412,27.13,1993-2011,27.13,,18.11,SCOR,Northern Basin and Range,NBR,80l,Salt Shrub Valleys,0.744171,317.8557,1359.728876,1860.044671,0.676237758,0.716363418,0.040112314,0.000849442,5.669207113,0.205848125,0,1.584492586,2.452981963,0.679191659,9.150009507,7.556308796,202.075766,452.8914441
Y,CAL,ORDEQ,Rhithron,SampOD_5092_1,42.42321717,-123.0398382,ORDEQ_0056,Kane Creek at RM 0.6 (Rogue),2000,6,6/28/2000 0:00,180,targeted riffle,single,,,,ORCoast_103516,22.66,annual,22.97,22.66,18.13,ORCoast,Klamath Mountains/California High North Coast Range,KM,78e,Inland Siskiyous,1.215922,23.1822,440.4813778,554.0856518,0.536660293,0.675383512,2.097593288,1.917850765,18.83417973,11.12664027,29.8741444,45.65183632,2.520443716,1.496989811,12.16812291,11.82216671,548.3462201,581.9483403
Y,CAL,ORDEQ,Rhithron,SampOD_5101_1,42.52245245,-123.4834207,ORDEQ_0065,Jumpoff Joe Cr,2000,6,6/27/2000 0:00,179,targeted riffle,multi,,,ORDEQ_0065,ORCoast_104981,27.56,annual,27.86,27.56,21.66,ORCoast,Klamath Mountains/California High North Coast Range,KM,78b,Oak Savanna Foothills,0.473914,276.9255,322.7579275,593.2022129,0.766218452,0.771872612,1.257223177,2.986398869,2.850226456,0.826142771,56.69998438,56.31745722,3.15254745,2.710414164,12.65767054,11.66317903,958.2969424,890.1939527
