TaxaID_v2,OTU,OTU_high.res,OTU_low.res,OTU_med.res,OTU_comment,nOcc,WAopt,Flag,ThermPref_JS3,ThermHiLo_JS,Therm_SH2,Therm_TITAN,WAtol,CurveShape,WA_MinusTol,WA_PlusTol,GAM,ValueProb10_min,ValueProb10_max,ValueProb20_min,ValueProb20_max,WA_Rank,GAM_Rank,Ubiquitous,Comment,RAW_DATA_OCCUR,RAI_TAXON,Taxon_Group,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
Bryelmis,Bryelmis,Bryelmis,Bryelmis,Bryelmis,,41,14.54038112,LowProbOcc,core cold,,core cold - I would add a low confidence to this,,2.270327328,*Unimodal,12.27005379,16.81070844,13.6,NA,NA,NA,NA,84,195.5,0,,41,Bryelmis,Coleoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Bryelmis,,,,,
Cleptelmis,Cleptelmis,Cleptelmis addenda,Cleptelmis addenda,Cleptelmis addenda,monotypic,714,19.65897609,,cool,,,,2.73751217,*Unimodal,16.92146392,22.39648826,20.8,14.9,26.9,17.4,24.9,552,493,0,,714,Cleptelmis,Coleoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Cleptelmis,,,,,
Heterlimnius,Heterlimnius,Heterlimnius corpulentus,Heterlimnius corpulentus,Heterlimnius corpulentus,monotypic,1930,16.85991051,,eurythermal,,,,2.608343555,*Unimodal,14.25156696,19.46825407,16.4,4,23.5,8,22.2,246,288,0,,1930,Heterlimnius,Coleoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Heterlimnius,,,,,
Lara,Lara,Lara,Lara,Lara,,812,17.62572926,,eurythermal,,cold,,2.812344344,*Unimodal,14.81338492,20.43807361,16.5,12.2,23.2,13.9,20.4,322,293.5,0,,812,Lara,Coleoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Lara,,,,,
Microcylloepus,Microcylloepus,Microcylloepus,Microcylloepus,Microcylloepus,,107,27.00584098,,warm,hot,HOT--this is way above all other warm taxa,,2.298789744,*Increaser,24.70705124,29.30463072,30.8,23.9,30.8,25.5,30.8,874,780,0,,107,Microcylloepus,Coleoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Microcylloepus,,,,,
Narpus,Narpus,Narpus,Narpus,Narpus,,985,17.95584469,,cool,,cool/warm,Increaser,2.147242323,*Unimodal,15.80860237,20.10308701,17.7,13.4,24.3,14.7,22.2,365,360,0,,985,Narpus,Coleoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Narpus,,,,,
Optioservus,Optioservus,Optioservus,Optioservus,Optioservus,,1974,20.78793122,,eurythermal,,warm,Increaser,2.800089356,Unimodal/Increaser,17.98784186,23.58802057,25.3,13.2,30.8,14.6,30.8,646,620.5,0,,1974,Optioservus,Coleoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Optioservus,,,,,
Ordobrevia,Ordobrevia,Ordobrevia nubifera,Ordobrevia nubifera,Ordobrevia nubifera,,235,20.29553893,,warm,,,,2.890122116,*Unimodal,17.40541681,23.18566104,26.4,21.4,28.9,NA,NA,615,639,0,,235,Ordobrevia,Coleoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Ordobrevia,,,,,
Stenelmis,Elmidae,666,666,666,,3315,19.50797898,,eurythermal,,too coarse,,3.438032697,*Increaser,16.06994628,22.94601168,30.8,3.8,30.8,6.5,30.8,532,780,0,hmmm,5,Stenelmis,Coleoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Stenelmis,,,,,
Zaitzevia,Zaitzevia,Zaitzevia,Zaitzevia,Zaitzevia,,1838,20.60270019,,eurythermal,,warm,Increaser,3.024593963,*Unimodal,17.57810623,23.62729415,20.8,13.6,30.8,14.7,30.8,639,493,0,,1838,Zaitzevia,Coleoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Zaitzevia,,,,,
Elmidae,Elmidae,666,666,666,,3315,19.50797898,,eurythermal,,too coarse,,3.438032697,*Increaser,16.06994628,22.94601168,30.8,3.8,30.8,6.5,30.8,532,780,0,,755,Elmidae,Coleoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,,,,,,
Lutrochus,LOW_NA,666,666,666,,NA,NA,,,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,Lutrochus,Coleoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Lutrochidae,,,,Lutrochus,,,,,
Eubrianax,Eubrianax,Eubrianax,Eubrianax,Eubrianax,,280,19.34380028,,cool,,,,2.217633997,*Unimodal,17.12616628,21.56143427,19.9,17.9,22.2,NA,NA,510,463.5,0,,280,Eubrianax,Coleoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Psephenidae,Eubrianacinae,,,Eubrianax,,,,,
Acneus,Acneus,Acneus,Acneus,Acneus,,129,17.09842669,LowProbOcc,cold,,cold,,1.99187805,*Unimodal,15.10654864,19.09030474,17.5,NA,NA,NA,NA,265,352.5,0,,129,Acneus,Coleoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Psephenidae,Eubriinae,,,Acneus,,,,,
Psephenus,Psephenus,Psephenus,Psephenus,Psephenus,,129,24.60746938,,warm,hot,warm -- +,,3.566621034,*Increaser,21.04084835,28.17409042,30.8,23.6,30.8,25.6,30.8,828,780,0,,129,Psephenus,Coleoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Psephenidae,Psepheninae,,,Psephenus,,,,,
Psephenidae,Psephenidae,666,666,666,,503,21.01656972,,cool,,warm -- too coarse?,,3.777523924,*Increaser,17.2390458,24.79409364,30.8,16.5,30.8,24.2,30.8,662,780,0,,35,Psephenidae,Coleoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Psephenidae,,,,,,,,,
Ptilodactylidae,LOW_NA,666,666,666,,NA,NA,,,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2,Ptilodactylidae,Coleoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Ptilodactylidae,,,,,,,,,
Scirtidae,LOW_NA,666,666,666,,NA,NA,,,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,7,Scirtidae,Coleoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Scirtidae,,,,,,,,,
Coleoptera,LOW_NA,666,666,666,,NA,NA,,,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,11,Coleoptera,Coleoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,,,,,,,,,,,,
Atherix,Atherix,Atherix,Atherix,Atherix,,232,21.5798891,,cool,,warm,Increaser,3.611887901,*Increaser,17.96800119,25.191777,30.8,20.6,30.8,NA,NA,705.5,780,0,,232,Atherix,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Athericidae,,,,Atherix,,,,,
Dolichopodidae,Dolichopodidae,Dolichopodidae,Dixidae,Dolichopodidae,,34,21.07018088,LowProbOcc,warm,,?,,3.067839479,*Increaser,18.0023414,24.13802036,30.8,NA,NA,NA,NA,666,780,0,,34,Dolichopodidae,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Dolichopodidae,,,,,,,,,
Empididae Genus A,Empididae,666,Empididae,666,,2420,17.15187883,,eurythermal,,too coarse,,4.198793725,*Decreaser,12.95308511,21.35067256,3.8,3.8,30.8,3.8,30.8,272,51.5,1,,4,Empididae Genus A,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Empididae,Clinocerinae,,,A,,,,,
Empididae Genus B,Empididae Genus B,Proclinopyga,Empididae,Proclinopyga,can we include this? Yes this is now a known genus called Proclinopyga ( We have apublication in press),55,17.44998084,LowProbOcc,cold,,cold/cool,,2.747203993,Flat,14.70277685,20.19718484,18.1,NA,NA,NA,NA,302,382,0,,55,Empididae Genus B,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Empididae,Clinocerinae,,,B,,,,,
Clinocera,Clinocera,Clinocera,Empididae,Clinocera,,639,15.59442686,,cold,,core cold,Decreaser,4.178461622,*Decreaser,11.41596523,19.77288848,3.8,3.8,20.3,3.8,15.6,153,51.5,0,,639,Clinocera,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Empididae,Clinocerinae,,,Clinocera,,,,,
Roederiodes,Roederiodes,Roederiodes,Empididae,Roederiodes,,43,17.49858027,LowProbOcc,cool,,cold/cool,,3.060041942,Flat,14.43853833,20.55862221,19.1,NA,NA,NA,NA,310,423,0,,43,Roederiodes,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Empididae,Clinocerinae,,,Roederiodes,,,,,
Trichoclinocera,Trichoclinocera,Trichoclinocera,Empididae,Trichoclinocera,,51,19.7792308,LowProbOcc,cool,,cool/warm,,3.381931813,Flat,16.39729899,23.16116261,21.8,NA,NA,NA,NA,560,522,0,,51,Trichoclinocera,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Empididae,Clinocerinae,,,Trichoclinocera,,,,,
Wiedemannia,Wiedemannia,Wiedemannia,Empididae,Wiedemannia,,126,14.99432217,,cold,,core cold,,3.707810456,*Decreaser,11.28651171,18.70213262,3.8,3.8,7.4,NA,NA,109,51.5,0,,126,Wiedemannia,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Empididae,Clinocerinae,,,Wiedemannia,,,,,
Clinocerinae,Clinocerinae,666,Empididae,666,,815,15.87234066,,cold,,core cold,,4.166709494,*Decreaser,11.70563116,20.03905015,3.8,3.8,22.6,3.8,17.5,176,51.5,0,,7,Clinocerinae,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Empididae,Clinocerinae,,,,,,,,
Chelifera/Metachela,Chelifera/Metachela,Chelifera/Metachela,Empididae,Chelifera/Metachela,,871,17.36983564,,eurythermal,,cold/cool,Decreaser,3.303708395,Unimodal/Decreaser,14.06612725,20.67354404,18.4,3.8,24.7,3.8,21.6,294,396.5,0,,871,Chelifera / Metachela,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Empididae,Hemerodromiinae,Hemerodromiini,,Chelifera / Metachela,,,,,
Hemerodromia,Hemerodromia,Hemerodromia,Empididae,Hemerodromia,,287,22.05055377,,warm,,warm - +,Increaser,3.367805156,*Increaser,18.68274861,25.41835892,30.8,20.2,30.8,22.9,30.8,731,780,0,,287,Hemerodromia,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Empididae,Hemerodromiinae,Hemerodromiini,,Hemerodromia,,,,,
Neoplasta,Neoplasta,Neoplasta,Empididae,Neoplasta,,610,17.84710902,,eurythermal,,cold/cool,,3.012716138,*Unimodal,14.83439288,20.85982515,18.5,12.2,23.4,17.4,19.5,347,400,0,,610,Neoplasta,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Empididae,Hemerodromiinae,Hemerodromiini,,Neoplasta,,,,,
NA,Hemerodromiinae,666,Empididae,666,,845,19.42831905,,cool,,cool/warm,,3.746641157,*Increaser,15.68167789,23.1749602,30.8,11.7,30.8,16.6,30.8,524,780,0,PRODUCT OF ROLLING TAXONOMY,0,Hemerodromiinae,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Empididae,Hemerodromiinae,,,,,,,,
Oreogeton,Oreogeton,Oreogeton,Empididae,Oreogeton,,406,12.7863497,,core cold,very cold,core cold,Decreaser,3.110547785,*Decreaser,9.675801913,15.89689748,3.8,3.8,16.3,3.8,14.7,38.5,51.5,0,,406,Oreogeton,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Empididae,Oreogetoninae,,,Oreogeton,,,,,
Empididae,Empididae,666,Empididae,666,,2420,17.15187883,,eurythermal,,too coarse,,4.198793725,*Decreaser,12.95308511,21.35067256,3.8,3.8,30.8,3.8,30.8,272,51.5,1,,649,Empididae,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Empididae,,,,,,,,,
Ephydridae,Ephydridae,Ephydridae,Ephydridae,Ephydridae,,118,23.0512203,,warm,,warm,,3.398085783,*Increaser,19.65313452,26.44930608,30.8,27.4,30.8,NA,NA,775,780,0,,118,Ephydridae,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Ephydridae,,,,,,,,,
Muscidae,Muscidae,Muscidae,Muscidae,Muscidae,,54,18.45172754,LowProbOcc,cool,,eurythermal,,3.743915978,*Increaser,14.70781156,22.19564351,30.8,NA,NA,NA,NA,419,780,0,,54,Muscidae,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Muscidae,,,,,,,,,
Glutops,Glutops,Glutops,Glutops,Glutops,,929,15.71365553,,cold,,core cold/cool,Decreaser,3.03206123,*Unimodal,12.6815943,18.74571676,16,5.9,21.3,8.6,19.5,162.5,274,0,,929,Glutops,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Pelecorhynchidae,,,,Glutops,,,,,
Sciomyzidae,Brachycera,666,666,666,,2927,17.79258292,,eurythermal,,,,4.367539397,*Decreaser,13.42504353,22.16012232,3.8,3.8,30.8,3.8,30.8,343,51.5,1,,25,Sciomyzidae,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Sciomyzidae,,,,,,,,,
Nemotelus,Stratiomyidae,Stratiomyidae,Stratiomyidae,Stratiomyidae,"single genera with much fewer observations, both on warm end",82,21.87971593,LowProbOcc,warm,,warm,,3.209039942,*Unimodal,18.67067599,25.08875588,24,NA,NA,NA,NA,724,585.5,0,,5,Nemotelus,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Stratiomyidae,Nemotelinae,,,Nemotelus,,,,,
Caloparyphus,Caloparyphus,Stratiomyidae,Stratiomyidae,Stratiomyidae,,30,23.14636644,LowProbOcc,warm,,warm -+,,2.812098077,*Unimodal,20.33426836,25.95846452,25.2,NA,NA,NA,NA,781,616,0,,30,Caloparyphus,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Stratiomyidae,Stratiomyinae,Oxycerini,,Caloparyphus,,,,,
Euparyphus,Stratiomyidae,Stratiomyidae,Stratiomyidae,Stratiomyidae,"single genera with much fewer observations, both on warm end",82,21.87971593,LowProbOcc,warm,,warm,,3.209039942,*Unimodal,18.67067599,25.08875588,24,NA,NA,NA,NA,724,585.5,0,,9,Euparyphus,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Stratiomyidae,Stratiomyinae,Oxycerini,,Euparyphus,,,,,
Odontomyia,Stratiomyidae,Stratiomyidae,Stratiomyidae,Stratiomyidae,"single genera with much fewer observations, both on warm end",82,21.87971593,LowProbOcc,warm,,warm,,3.209039942,*Unimodal,18.67067599,25.08875588,24,NA,NA,NA,NA,724,585.5,0,,2,Odontomyia,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Stratiomyidae,Stratiomyinae,Stratiomyini,,Odontomyia,,,,,
Stratiomyidae,Stratiomyidae,Stratiomyidae,Stratiomyidae,Stratiomyidae,"single genera with much fewer observations, both on warm end",82,21.87971593,LowProbOcc,warm,,warm,,3.209039942,*Unimodal,18.67067599,25.08875588,24,NA,NA,NA,NA,724,585.5,0,,45,Stratiomyidae,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Stratiomyidae,,,,,,,,,
Eristalis,Brachycera,666,666,666,,2927,17.79258292,,eurythermal,,,,4.367539397,*Decreaser,13.42504353,22.16012232,3.8,3.8,30.8,3.8,30.8,343,51.5,1,,1,Eristalis,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Syrphidae,Eristalinae,Eristaliini,,Eristalis,,,,,
Syrphidae,Brachycera,666,666,666,,2927,17.79258292,,eurythermal,,,,4.367539397,*Decreaser,13.42504353,22.16012232,3.8,3.8,30.8,3.8,30.8,343,51.5,1,,2,Syrphidae,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Syrphidae,,,,,,,,,
Tabanidae,Tabanidae,Tabanidae,Tabanidae,Tabanidae,,177,19.70810855,,cool,,warm,,2.382375035,*Unimodal,17.32573352,22.09048359,23.2,22.9,23.4,NA,NA,555,555,0,,177,Tabanidae,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Tabanidae,,,,,,,,,
Brachycera,Brachycera,666,666,666,,2927,17.79258292,,eurythermal,,,,4.367539397,*Decreaser,13.42504353,22.16012232,3.8,3.8,30.8,3.8,30.8,343,51.5,1,,20,Brachycera,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,,,,,,,,,,
Muscomorpha,Brachycera,666,666,666,,2927,17.79258292,,eurythermal,,,,4.367539397,*Decreaser,13.42504353,22.16012232,3.8,3.8,30.8,3.8,30.8,343,51.5,1,,1,Muscomorpha,Terrestrial,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,,,,,,,,,,
Agathon comstocki,Blephariceridae,Blephariceridae,Blephariceridae,Blephariceridae,,128,19.57019816,LowProbOcc,cool,,eurythermal?,,3.354857221,*Unimodal,16.21534094,22.92505538,22.1,NA,NA,NA,NA,542,531.5,0,,1,Agathon comstocki,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Blephariceridae,Blepharicerinae,Blepharicerini,,Agathon,,,,,comstocki
Agathon,Blephariceridae,Blephariceridae,Blephariceridae,Blephariceridae,,128,19.57019816,LowProbOcc,cool,,eurythermal?,,3.354857221,*Unimodal,16.21534094,22.92505538,22.1,NA,NA,NA,NA,542,531.5,0,,15,Agathon,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Blephariceridae,Blepharicerinae,Blepharicerini,,Agathon,,,,,
Bibiocephala,Blephariceridae,Blephariceridae,Blephariceridae,Blephariceridae,,128,19.57019816,LowProbOcc,cool,,eurythermal?,,3.354857221,*Unimodal,16.21534094,22.92505538,22.1,NA,NA,NA,NA,542,531.5,0,,8,Bibiocephala,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Blephariceridae,Blepharicerinae,Blepharicerini,,Bibiocephala,,,,,
Blepharicera,Blephariceridae,Blephariceridae,Blephariceridae,Blephariceridae,,128,19.57019816,LowProbOcc,cool,,eurythermal?,,3.354857221,*Unimodal,16.21534094,22.92505538,22.1,NA,NA,NA,NA,542,531.5,0,,20,Blepharicera,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Blephariceridae,Blepharicerinae,Blepharicerini,,Blepharicera,,,,,
Blephariceridae,Blephariceridae,Blephariceridae,Blephariceridae,Blephariceridae,,128,19.57019816,LowProbOcc,cool,,eurythermal?,,3.354857221,*Unimodal,16.21534094,22.92505538,22.1,NA,NA,NA,NA,542,531.5,0,,96,Blephariceridae,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Blephariceridae,,,,,,,,,
Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,,1914,18.46992188,,eurythermal,,eurythermal,Increaser,3.775376224,Unimodal/Increaser,14.69454565,22.2452981,17.3,3.9,30.8,9.5,30.8,421,344.5,0,,1914,Ceratopogoninae,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Ceratopogonidae,Ceratopogoninae,,,,,,,,
Dasyhelea,Dasyhelea,Dasyhelea,Dasyhelea,Dasyhelea,,37,19.01458991,LowProbOcc,warm,,cool,,3.334876684,*Increaser,15.67971322,22.34946659,30.8,NA,NA,NA,NA,479.5,780,0,,37,Dasyhelea,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Ceratopogonidae,Dasyheleinae,,,Dasyhelea,,,,,
Forcipomyiinae,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae,,559,17.15410481,,eurythermal,,cool ,Decreaser,2.603204568,*Unimodal,14.55090025,19.75730938,16.6,11.1,20.9,15.6,17.5,273,299.5,0,,559,Forcipomyiinae,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Ceratopogonidae,Forcipomyiinae,,,,,,,,
Chaoborus,Nematocera,666,666,666,,3873,18.32202489,,eurythermal,,,,3.760705973,Flat,14.56131892,22.08273086,15.2,3.8,30.8,3.8,30.8,407,248,1,,1,Chaoborus,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chaoboridae,Chaoborinae,,,Chaoborus,,,,,
Eucorethra,Nematocera,666,666,666,,3873,18.32202489,,eurythermal,,,,3.760705973,Flat,14.56131892,22.08273086,15.2,3.8,30.8,3.8,30.8,407,248,1,,8,Eucorethra underwoodi,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chaoboridae,Eucorethrinae,,,Eucorethra,,,,,
Chaoboridae,Nematocera,666,666,666,,3873,18.32202489,,eurythermal,,,,3.760705973,Flat,14.56131892,22.08273086,15.2,3.8,30.8,3.8,30.8,407,248,1,,3,Chaoboridae,Diptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chaoboridae,,,,,,,,,
Apedilum,Apedilum,Apedilum,Chironomini,Chironomini,,35,22.85388761,LowProbOcc,warm,,warm -- +,,3.080746008,*Unimodal,19.7731416,25.93463362,26.7,NA,NA,NA,NA,765,644,0,,35,Apedilum,Chironomidae,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Apedilum,,,,,
Chironomus,Chironomus,Chironomus,Chironomini,Chironomini,,130,20.70699677,LowProbOcc,warm,,warm,,2.810842194,Unimodal/Increaser,17.89615457,23.51783896,27,NA,NA,NA,NA,645,650,0,,130,Chironomus,Chironomidae,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Chironomus,,,,,
Cladopelma,Chironomini,666,Chironomini,Chironomini,"could possibly leave at tribe, as optima mostly warm--ranging from 19-23",1990,20.7052167,,eurythermal,,warm,Increaser,3.413822432,*Increaser,17.29139427,24.11903913,30.8,12.3,30.8,13.9,30.8,644,780,0,,3,Cladopelma,Chironomidae,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Cladopelma,,,,,
Cryptochironomus,Cryptochironomus,Cryptochironomus,Chironomini,Chironomini,,157,22.50418798,,warm,,warm,,2.944760362,*Increaser,19.55942762,25.44894834,30.8,22.1,30.8,27.1,30.8,747,780,0,,157,Cryptochironomus,Chironomidae,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Cryptochironomus,,,,,
Cryptotendipes,Chironomini,666,Chironomini,Chironomini,"could possibly leave at tribe, as optima mostly warm--ranging from 19-23",1990,20.7052167,,eurythermal,,warm,Increaser,3.413822432,*Increaser,17.29139427,24.11903913,30.8,12.3,30.8,13.9,30.8,644,780,0,,28,Cryptotendipes,Chironomidae,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Cryptotendipes,,,,,
Demicryptochironomus,Chironomini,666,Chironomini,Chironomini,"could possibly leave at tribe, as optima mostly warm--ranging from 19-23",1990,20.7052167,,eurythermal,,warm,Increaser,3.413822432,*Increaser,17.29139427,24.11903913,30.8,12.3,30.8,13.9,30.8,644,780,0,,19,Demicryptochironomus,Chironomidae,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Demicryptochironomus,,,,,
Dicrotendipes,Dicrotendipes,Dicrotendipes,Chironomini,Chironomini,,140,23.89699589,,warm,,warm--this is bordering on a new category of hot,,2.571635743,*Increaser,21.32536015,26.46863164,30.8,23,30.8,25,30.8,795,780,0,,140,Dicrotendipes,Chironomidae,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Dicrotendipes,,,,,
Endochironomus,LOW_NA,666,666,666,,,,,,,,,,,,,,,,,,,,,,,Endochironomus,Chironomidae,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Endochironomus,,,,,
Glyptotendipes,Chironomini,666,Chironomini,Chironomini,"could possibly leave at tribe, as optima mostly warm--ranging from 19-23",1990,20.7052167,,eurythermal,,warm,Increaser,3.413822432,*Increaser,17.29139427,24.11903913,30.8,12.3,30.8,13.9,30.8,644,780,0,,5,Glyptotendipes,Chironomidae,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Glyptotendipes,,,,,
Lauterborniella,Chironomini,666,Chironomini,Chironomini,"could possibly leave at tribe, as optima mostly warm--ranging from 19-23",1990,20.7052167,,eurythermal,,warm,Increaser,3.413822432,*Increaser,17.29139427,24.11903913,30.8,12.3,30.8,13.9,30.8,644,780,0,,1,Lauterborniella,Chironomidae,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Lauterborniella,,,,,
Microchironomus,Chironomini,666,Chironomini,Chironomini,"could possibly leave at tribe, as optima mostly warm--ranging from 19-23",1990,20.7052167,,eurythermal,,warm,Increaser,3.413822432,*Increaser,17.29139427,24.11903913,30.8,12.3,30.8,13.9,30.8,644,780,0,,1,Microchironomus,Chironomidae,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Microchironomus,,,,,
